"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"151"	151	71	103	114	139	9	11	12	14	59198	2326
"152"	152	5	6	7	7	113	126	154	157	3352	104
"153"	153	1	3	3	3	16	25	40	55	3489	99
"154"	154	0	0	1	1	0	0	0	6	2591	85
"155"	155	0	0	0	0	0	0	2	2	1327	40
"156"	156	75	107	127	141	10	11	12	13	59198	2326
"157"	157	5	6	7	7	120	137	157	163	3352	104
"158"	158	3	3	3	3	22	29	55	60	3489	99
"159"	159	0	0	0	0	0	0	2	3	2756	91
"160"	160	0	0	0	0	0	1	1	3	1455	46
"161"	161	72	92	109	122	8	10	12	13	59198	2326
"162"	162	5	7	7	7	119	137	153	170	3352	104
"163"	163	1	3	3	3	15	30	54	62	3489	99
"164"	164	0	0	0	0	0	1	3	3	2955	99
"165"	165	0	0	0	0	2	4	9	13	1720	54
"166"	166	80	94	110	128	8	11	12	13	59198	2326
"167"	167	0	0	3	4	106	117	135	146	4853	155
"168"	168	0	1	2	3	7	10	19	22	3361	94
"169"	169	4	4	7	10	0	0	0	0	2390	89
"170"	170	0	0	0	0	0	1	1	3	1574	48
"171"	171	21	22	23	24	1818	1996	2106	2197	81294	3051
"172"	172	20	22	22	24	1846	1950	2062	2274	81294	3051
"173"	173	20	22	23	24	1903	2008	2154	2223	81294	3051
"174"	174	20	21	23	24	1862	1994	2100	2183	81294	3051
"175"	175	22	22	23	24	1778	1946	2107	2264	81294	3051
"176"	176	21	22	23	24	1858	1967	2139	2261	81294	3051
"177"	177	20	22	23	24	1957	2045	2136	2296	81294	3051
"178"	178	22	22	23	24	1798	1936	2102	2185	81294	3051
"179"	179	20	22	23	24	1902	2067	2199	2280	81294	3051
"180"	180	20	22	22	23	1846	1991	2101	2224	81294	3051
"181"	181	20	22	23	24	1957	2050	2143	2279	81294	3051
"182"	182	20	22	23	24	1888	1969	2132	2215	81294	3051
"183"	183	20	22	23	24	1762	1928	2074	2224	81294	3051
"184"	184	22	22	23	24	1800	1987	2105	2214	81294	3051
"185"	185	21	22	23	24	1845	1972	2105	2281	81294	3051
"186"	186	21	22	23	24	1886	2031	2153	2250	81294	3051
"187"	187	19	22	22	23	1882	2024	2136	2231	81294	3051
"188"	188	20	22	22	24	1924	2007	2168	2359	81294	3051
"189"	189	22	22	23	24	1870	2037	2139	2248	81294	3051
"190"	190	22	22	22	23	1816	1921	2055	2139	81294	3051
"191"	191	20	21	23	24	1867	2015	2100	2198	81294	3051
"192"	192	20	21	23	24	1901	2045	2134	2231	81294	3051
"193"	193	21	22	22	23	1786	1963	2121	2182	81294	3051
